Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
Phoenix,1/29/2024 7:08,1.51,89.42,5.21,7.33
Chicago,4/1/2024 3:12,-2.56,30.36,2.62,2.6
New York,4/21/2024 10:17,8.86,71.49,4.88,21.9
Dallas,4/3/2024 22:07,6.51,42.01,1.41,18.39
New York,2/19/2024 19:53,38.55,40.45,1.12,13.26
Philadelphia,5/18/2024 2:32,-2.02,36.06,6.66,18.62
San Diego,1/24/2024 12:04,-6.85,84.67,9.03,18.23
San Diego,3/3/2024 11:02,35.67,74.06,1.33,24.16
Chicago,4/3/2024 12:07,7.17,50.38,4.67,11.84
Phoenix,3/24/2024 22:44,34.45,59.58,4.51,20.49
Chicago,4/5/2024 13:22,38.39,74.05,6.79,3.29
Philadelphia,3/26/2024 12:45,7.11,79.18,5.77,22.36
San Jose,5/8/2024 20:16,35.1,40.23,6.09,20.01
San Diego,2/10/2024 22:46,-5.86,52.26,7.11,2.26
Phoenix,3/31/2024 18:02,4.64,44.42,1.98,19.34
San Antonio,3/15/2024 0:09,25.82,56.59,2.81,17.78
New York,3/27/2024 22:42,-0.07,57.84,6.44,20.62
New York,2/19/2024 22:13,19.5,30.73,0.96,9.21
Philadelphia,3/15/2024 1:56,23.03,61.84,5.98,23.05
San Antonio,1/18/2024 2:56,28.56,34.87,6.14,22.28
Chicago,1/25/2024 8:21,8.71,85.23,6.9,20.62
San Jose,2/11/2024 4:20,39.69,36.12,4.86,26.4
San Antonio,1/10/2024 14:19,38.47,46.04,8.36,5.17
Dallas,5/6/2024 17:55,-5.38,84.48,7.59,28.51
Houston,2/17/2024 19:00,36.98,34.4,7.53,5.4
Los Angeles,2/5/2024 12:16,30.73,64.88,2.07,29.13
Chicago,3/5/2024 19:08,-2.58,33.06,0.22,12.46
Los Angeles,2/6/2024 19:02,31.73,65.33,3.67,19.71
San Jose,2/27/2024 23:17,34.88,51.27,8.17,28.58
New York,3/16/2024 8:16,30.71,54.76,6.05,4.72
New York,5/4/2024 6:50,6.93,85.19,4.98,13.2
New York,2/16/2024 4:53,35.45,48.51,6.04,20.97
San Antonio,4/13/2024 1:17,35.21,76.34,8.65,1.52
Los Angeles,1/6/2024 19:12,33.34,83.38,4.58,17.43
San Antonio,3/5/2024 22:47,33.31,74.85,6.77,14.73
San Jose,1/18/2024 7:59,32.78,78.27,2.17,0.67
Dallas,1/15/2024 12:05,-2.99,58.63,3.7,20.08
San Antonio,3/13/2024 22:42,18.25,89.91,5.6,18.76
Dallas,4/15/2024 13:57,-8.96,80.73,2.55,4.02
Chicago,1/22/2024 1:57,15.8,51.62,1.26,23.72
Houston,4/4/2024 23:04,20.32,65.54,1.96,19.64
Philadelphia,4/25/2024 1:43,-5.13,66.59,1.55,9.96
Los Angeles,5/17/2024 9:13,-3.09,58.56,5.33,20.47
Houston,2/17/2024 18:32,32.61,39.67,8.45,18.5
Dallas,2/17/2024 0:26,13.23,80.16,7.89,19.61
Houston,3/6/2024 21:37,37.52,75.95,0.03,24.31
Los Angeles,5/5/2024 12:20,29.29,37.25,1.72,21.53
San Diego,2/2/2024 10:25,38.2,84.97,2.75,13.68
Phoenix,4/30/2024 6:09,1.17,59.39,1.88,4.16
Los Angeles,4/3/2024 8:14,-4,71.74,5.16,20.26
Philadelphia,1/28/2024 4:20,1.26,31.2,7.48,18.37
Philadelphia,5/10/2024 11:49,20.95,45.52,9.65,13.04
Houston,4/16/2024 20:54,24.26,87.4,4.18,22.97
Houston,4/16/2024 13:05,29.87,61.02,2.16,22.4
San Jose,1/22/2024 20:21,10.1,68.89,5.01,2.74
San Antonio,1/5/2024 3:41,34.36,39.63,6.32,15.45
San Diego,2/24/2024 16:53,-8.25,58.04,4.2,8.2
San Diego,4/18/2024 4:13,0.33,82.21,2.6,24.23
San Jose,2/26/2024 5:58,15.81,34.91,0.74,14.92
San Diego,3/10/2024 6:11,18.52,82.75,4.05,1.96
Phoenix,3/15/2024 1:15,-6.1,54.09,1.59,2.99
Houston,2/17/2024 9:34,16.94,52.76,5.81,11.8
Chicago,4/10/2024 21:27,2.69,46.19,3.37,10.96
Philadelphia,1/14/2024 23:48,5.42,79.81,9.98,25.59
Phoenix,1/9/2024 20:59,0.32,38.28,11.88,29.04
Chicago,1/8/2024 16:30,26.46,38.67,6.02,9.3
Chicago,2/16/2024 5:35,8.35,31.26,0.65,13.08
Houston,1/18/2024 8:48,24.48,35.99,4.3,23.2
Phoenix,2/2/2024 2:53,7.8,76.86,13.98,12.36
San Antonio,5/2/2024 3:49,15.85,56.81,7.86,6.74
Houston,2/3/2024 2:14,30.23,54.66,0.21,1.63
New York,5/18/2024 16:41,7.42,72.93,1.85,9.34
Phoenix,2/16/2024 22:11,13.23,71.37,7.34,16.18
Dallas,5/13/2024 4:18,-6.23,78.59,1.72,24.15
New York,2/14/2024 20:17,-2.92,63.31,2.73,16.57
Dallas,2/11/2024 10:16,18.72,67.43,2.07,7.48
Dallas,2/8/2024 19:49,16.68,36.74,3.86,3.4
San Antonio,2/1/2024 13:10,36.56,72.46,7.95,9.95
Los Angeles,4/2/2024 21:49,11.96,40.43,5.68,2.67
New York,4/27/2024 17:15,30.18,60.32,9.06,7.08
Phoenix,5/5/2024 17:05,-6.75,79.56,1.11,17.85
San Antonio,5/16/2024 4:17,-2.56,88.87,9.16,26.41
San Antonio,2/5/2024 3:56,38.6,80.88,4.46,10.76
San Antonio,4/8/2024 18:01,10.47,71.18,7.73,21.41
Houston,3/19/2024 20:05,19.29,70.09,0.03,29.61
Chicago,3/14/2024 9:43,1.21,45.24,8.84,18.29
San Antonio,5/17/2024 8:02,24.01,80.66,7.69,24.85
Los Angeles,4/9/2024 1:55,21.41,82.25,4.72,20.53
Phoenix,1/18/2024 11:27,12.11,62.35,3.27,4.86
Los Angeles,2/12/2024 2:07,36.53,41.32,8.63,25.85
Chicago,4/21/2024 12:26,25.4,84.49,0.52,17.64
Dallas,3/5/2024 2:38,14.07,51.23,9.28,13.34
Chicago,4/19/2024 9:02,16.51,36.45,6.07,18.54
San Diego,1/22/2024 6:07,14.7,31.24,5.82,2.88
Phoenix,3/19/2024 11:38,-2.99,65.92,4.65,4.92
Houston,4/10/2024 9:10,10.59,48.72,2.84,0.13
Chicago,3/24/2024 19:05,-8.37,63.09,1.56,6.21
New York,1/14/2024 9:27,24.36,45.71,0.8,29.61
San Antonio,4/13/2024 16:14,5.76,61.45,1.21,23.83
Houston,4/27/2024 19:12,-6.91,54.6,4.54,27.48
Philadelphia,3/25/2024 15:01,35.44,61.56,0.94,15.22
San Jose,1/6/2024 22:05,9.94,42.8,7.63,22.87
Houston,5/8/2024 1:43,35.7,45.01,8.2,4.32
Phoenix,3/4/2024 11:07,22.81,38.28,3.54,1.26
Dallas,2/8/2024 4:48,7.5,30.36,2.06,4.43
Los Angeles,1/6/2024 22:07,29.51,60.66,7.99,15.76
San Diego,1/6/2024 19:31,18.37,65.6,1.18,25.8
San Diego,3/18/2024 9:31,-4.39,55.81,2.16,8.31
Dallas,3/28/2024 1:25,21.55,87.4,3.56,8.44
Chicago,4/13/2024 8:56,-0.83,84.58,3.56,18.79
Los Angeles,3/16/2024 11:08,-4.46,52.63,2.7,4.33
Houston,1/8/2024 9:42,33.05,49.89,6.23,0.03
Philadelphia,4/3/2024 16:17,-0.05,42.82,9.01,19.52
Los Angeles,2/22/2024 17:28,15.58,85.13,8.01,25.71
Philadelphia,1/25/2024 4:48,-7.35,39.77,7.08,7.32
San Diego,1/30/2024 4:17,34.18,69.03,7.03,5.09
Phoenix,3/23/2024 7:38,14.29,39.86,9.51,28.65
Houston,5/3/2024 7:53,-9.1,62.96,0.65,1.65
San Diego,4/5/2024 17:00,1.93,47.22,0.69,0.59
Dallas,1/31/2024 5:27,-9.64,45.49,1.61,29.43
Houston,3/23/2024 3:10,-6.45,38.8,0.48,19.69
San Antonio,1/1/2024 1:19,22.06,79.17,2.35,6.95
Chicago,1/16/2024 7:06,38.5,49.02,6.1,20.18
Los Angeles,4/1/2024 9:32,-3.49,63.79,2.04,10.53
New York,5/16/2024 23:02,16.84,84.03,8.67,11.85
Dallas,1/14/2024 2:38,9.89,56.36,3.57,22.83
Philadelphia,5/6/2024 6:12,-1.43,37.66,5.8,2.92
New York,3/29/2024 22:29,8.02,63.68,2.14,12.56
San Antonio,5/12/2024 11:47,3.54,54.46,5.49,10.61
Chicago,4/5/2024 3:53,10.16,56.42,9.85,23.85
San Diego,4/3/2024 22:15,18.23,75.87,4.56,7.86
San Diego,1/21/2024 6:29,10.79,73.57,6.65,22.95
Los Angeles,1/3/2024 13:58,21.1,39.46,2.29,11.63
Chicago,3/23/2024 15:43,28.79,69.21,2.46,7.32
Houston,1/28/2024 15:39,6.76,50.73,4.56,11.2
New York,1/12/2024 18:05,5.3,58.96,6.15,22.68
Dallas,2/19/2024 8:52,3.64,46.18,3.23,5.38
Los Angeles,3/13/2024 23:10,0.12,55.5,2.99,29.68
Philadelphia,3/20/2024 18:30,-3.43,70.57,9.84,12.49
Dallas,1/11/2024 22:58,17.68,39.67,7.04,0.22
San Antonio,4/17/2024 21:19,3.72,72.8,6.32,23.08
Houston,1/5/2024 9:19,22.1,74.45,2.07,5.11
San Diego,1/20/2024 23:48,-2.85,37.54,0.26,28.42
Phoenix,4/19/2024 20:16,3.12,44.91,2.69,22.82
Philadelphia,4/27/2024 4:03,24.22,50.78,1.85,27.51
Los Angeles,3/9/2024 1:20,28.31,36.31,2.62,28.1
San Antonio,2/11/2024 3:12,2.57,78.31,1.2,1.74
San Diego,1/11/2024 10:27,5.6,46.54,4.26,17.49
New York,3/2/2024 4:42,-6.35,86.18,9.32,23.11
San Jose,2/16/2024 7:39,14.29,85.16,0.94,28.27
Houston,1/9/2024 23:53,38.67,83.79,9.85,14.6
San Jose,4/11/2024 17:32,10.32,41.98,5.41,24.88
Philadelphia,2/9/2024 2:17,3.28,67.92,5.31,4.3
Philadelphia,2/23/2024 14:13,-9.72,72.07,0.25,0.34
San Antonio,5/7/2024 18:15,19.48,84.45,3.93,0.11
Los Angeles,1/12/2024 22:38,19.59,32.62,0.97,6.29
San Jose,2/14/2024 23:55,24.12,67.13,3.75,8.62
San Jose,1/21/2024 20:43,20.66,87.27,6.17,25.15
San Antonio,2/2/2024 8:09,22.49,65.66,3.49,14.26
San Antonio,5/7/2024 7:20,11.1,87.16,4.28,2.38
Houston,4/25/2024 7:51,19.94,57.55,4.53,28.84
San Antonio,2/11/2024 23:21,7.38,50.7,4.46,15.11
New York,5/11/2024 12:00,36.44,33.61,8.8,27.51
Los Angeles,4/19/2024 11:15,-4,86.39,8.32,3.77
Houston,1/17/2024 20:29,24.92,77.77,5.72,4.91
San Jose,3/28/2024 3:37,36.03,68.74,3.91,5.43
Los Angeles,1/26/2024 4:30,35.28,82.2,6.6,29.15
Chicago,3/25/2024 3:34,38.48,72.84,6.9,0.3
Houston,5/11/2024 8:44,19.77,78.58,9,2.04
San Diego,3/21/2024 22:16,3.38,52.28,1.81,8.31
San Jose,1/5/2024 12:04,17.75,67.68,1.02,16.29
New York,2/24/2024 14:28,24.29,41,5.72,12.25
Dallas,3/29/2024 4:24,4.47,42.25,5.35,26.11
New York,2/3/2024 2:06,34.12,50.84,5.35,16.47
Chicago,3/29/2024 5:06,19.72,33.16,5.92,26.34
Chicago,2/10/2024 23:50,31.21,48.89,9.92,28.94
Los Angeles,5/4/2024 22:03,11.07,39.31,6.91,9.39
Philadelphia,4/28/2024 12:04,38.3,32.3,2.57,23
San Jose,3/31/2024 1:49,19.04,74.44,9.51,22.43
San Antonio,3/3/2024 5:03,22.21,80.13,6.49,18.05
Chicago,5/6/2024 16:52,31.54,81.23,1.03,15.81
San Diego,3/24/2024 17:40,36.89,85.16,7.97,9.27
New York,3/30/2024 8:16,3.43,58.91,9.61,18.57
Philadelphia,4/5/2024 14:42,-4.14,43.39,1.27,23.76
San Antonio,2/27/2024 17:55,30.27,64.32,3.58,20.87
New York,3/22/2024 6:45,12.67,67.38,7.94,27.54
Dallas,5/7/2024 14:24,6.02,39.6,9.96,20.82
Phoenix,3/15/2024 12:07,34.56,49.96,5.42,23.27
Houston,5/17/2024 7:57,34.71,83.57,7.83,18.69
Chicago,2/5/2024 0:09,34.6,73.58,0.96,3.04
Houston,3/4/2024 0:47,-1.09,69.13,0.93,13.17
Los Angeles,4/25/2024 9:48,36.36,67.37,8.33,8.21
San Jose,3/18/2024 1:00,17.86,74.05,5.97,14.12
San Diego,1/17/2024 13:02,-3.73,80.15,4.11,18.36
Houston,2/26/2024 19:13,-2.29,52.76,7.11,16.64
Dallas,2/12/2024 0:49,36.14,58.05,3.92,1.62
San Antonio,3/13/2024 6:40,18.8,86.98,5.97,20.6
San Diego,2/27/2024 5:28,31.56,54.91,4.72,17.35
Los Angeles,3/23/2024 17:41,24.72,78.37,5.43,4.78
Chicago,2/6/2024 6:03,-5.89,39.13,9.74,0.4
New York,3/31/2024 2:20,39.47,54.62,2.92,28.26
Phoenix,1/3/2024 14:16,-4.62,35.48,5.8,24.58
Phoenix,4/15/2024 8:31,-4.93,70.11,7.19,14.6
Dallas,3/6/2024 4:07,13.49,75.19,3.53,16.2
Phoenix,3/28/2024 20:33,-5.44,54.9,4.78,20.41
New York,3/28/2024 19:30,14.2,73.03,7.23,15.77
Los Angeles,4/27/2024 1:35,8.88,49.71,7.04,10.41
Phoenix,2/19/2024 11:37,0.36,44.74,7.14,18.75
New York,3/10/2024 9:28,26.18,61.55,9.87,21.58
Philadelphia,1/21/2024 22:53,11.23,36.93,3.78,7.62
Los Angeles,1/10/2024 19:17,30.59,83.45,0.42,18.82
Houston,1/31/2024 12:09,4.33,81.07,2.15,12.54
San Jose,2/23/2024 1:46,38.17,59.67,7.9,11.88
Chicago,5/16/2024 5:23,20.03,81.01,6.88,1.28
San Diego,5/17/2024 15:28,12.79,67.12,6.3,22.39
Dallas,5/5/2024 17:16,0.92,40.89,2.93,29.07
Los Angeles,3/8/2024 5:59,-3.49,43.51,4.02,0.67
Chicago,2/20/2024 15:27,39.18,38.77,8.62,4.6
Houston,3/7/2024 4:37,23.79,33.32,9.98,16.05
New York,5/12/2024 23:35,35.96,61.46,6.66,28.55
Houston,1/27/2024 18:15,5.28,43.83,4.81,19.16
San Diego,1/19/2024 18:44,24.76,58.85,5.91,25.85
Chicago,3/18/2024 10:51,28.34,73.42,9.84,25.74
New York,1/28/2024 2:34,8.45,53.45,3.55,18.46
Chicago,5/8/2024 23:02,9.57,64.2,3.68,5.28
San Antonio,1/12/2024 19:59,16.21,73.05,7.02,29.72
Houston,3/1/2024 21:39,16.14,58.18,5.54,7.03
San Jose,1/16/2024 3:34,26.71,35.06,7.76,18.17
Los Angeles,4/17/2024 14:30,0.8,34.46,9.7,10.35
Los Angeles,3/28/2024 21:11,22.78,42.12,9.22,22.41
Houston,4/1/2024 10:52,6.18,44.16,8.83,18.31
San Diego,1/10/2024 22:05,15.16,31.48,3.13,16.91
Los Angeles,1/4/2024 6:43,-4.84,38.96,2.83,26.46
San Jose,4/11/2024 4:11,15.64,71.32,3.18,26.22
San Antonio,5/11/2024 10:42,18.23,61.26,9.97,19.41
Phoenix,5/5/2024 13:24,-4.64,75.2,6.41,12.84
Philadelphia,2/10/2024 22:24,25.92,43.98,6.11,28.89
Dallas,2/3/2024 13:23,19.1,66.2,5.1,15.96
Chicago,3/6/2024 9:25,-0.86,50.98,0.48,10.93
San Jose,3/5/2024 14:52,30.72,32.23,0.98,17.22
Houston,5/8/2024 4:15,10.15,63.38,4.28,6.28
Phoenix,1/8/2024 9:55,31.46,44.95,9.65,1.15
Houston,1/28/2024 4:42,3.9,72.12,5.91,21.38
San Jose,2/17/2024 4:54,14.87,44.45,3.43,10.29
Phoenix,1/19/2024 15:01,14.53,66.11,4.53,19.85
San Diego,1/2/2024 12:01,23.61,68.43,0.46,6.75
San Jose,3/19/2024 19:28,-2.99,64.41,9.44,1.21
Los Angeles,3/5/2024 6:39,9.96,62.25,7.41,28.57
Dallas,2/25/2024 23:44,3.06,86.86,3.49,23
Chicago,3/27/2024 15:49,-6.61,68.63,8.01,1.74
San Jose,5/3/2024 0:42,27.08,51.32,6.65,12.88
Chicago,3/15/2024 19:23,12.57,36.02,7.67,4.09
Los Angeles,4/23/2024 21:59,28.86,37.04,0.19,25.07
Philadelphia,3/10/2024 4:21,2.02,57.28,7.48,1.93
Chicago,3/22/2024 11:54,-0.87,78.55,5.93,19.22
Houston,4/8/2024 19:56,-9.46,64.67,9.31,8.84
Philadelphia,1/1/2024 6:47,36.72,49.81,2.11,6.2
Houston,2/29/2024 17:23,-9.26,83.87,7.14,6.8
Houston,5/12/2024 11:21,-8.35,81.37,6.63,11.69
San Antonio,2/28/2024 11:06,1.11,75.35,6.13,3.81
Houston,4/26/2024 1:56,3.66,36.77,6.2,17.85
Dallas,3/2/2024 4:49,-9.36,75.71,8.77,27.71
San Diego,3/27/2024 12:32,22.93,82.35,9.75,6.97
Los Angeles,4/22/2024 3:54,14.14,46.99,8.05,9.04
San Antonio,2/9/2024 7:46,34.89,68.85,1.26,29.09
San Diego,2/16/2024 22:09,35.27,31.44,7.45,23.4
San Jose,4/16/2024 3:44,17.2,71.43,0,4.67
Los Angeles,3/18/2024 13:22,-1.8,48.81,6.23,12
San Antonio,2/22/2024 15:23,4.79,80.16,8.36,27.55
Los Angeles,3/10/2024 21:31,20.04,34.25,0.01,21.26
New York,5/2/2024 17:45,33.19,79.98,8.46,1.34
Philadelphia,4/2/2024 23:06,37.52,59.18,0.34,20.96
New York,2/14/2024 20:21,2.4,42.34,0.58,29.72
Los Angeles,5/12/2024 3:52,26.9,53.06,6.72,17.44
Chicago,1/11/2024 17:00,19.44,57.53,3.28,29.66
Los Angeles,3/9/2024 4:18,23.06,78.22,0.31,2.21
Philadelphia,4/4/2024 18:34,27.82,69.99,3.02,1.22
Chicago,2/29/2024 3:50,22.2,31.11,3.88,8.34
Phoenix,4/15/2024 16:57,3.96,75.77,9.2,10.15
Chicago,3/7/2024 15:52,0.35,40.75,1.17,8.36
Philadelphia,1/28/2024 23:46,29.62,80.3,7.79,0.91
Los Angeles,4/9/2024 3:19,0.9,73.78,6.85,14.42
Houston,3/7/2024 15:35,26.7,75.11,1.23,5.25
New York,2/9/2024 8:47,7.44,48.77,9.48,1.67
Houston,4/30/2024 6:28,23.04,44.5,1.08,6.34
Phoenix,4/27/2024 2:02,7.09,41.44,2.2,11.65
San Jose,5/5/2024 3:43,-5.82,53.88,0.94,20.05
Chicago,3/27/2024 10:39,19.69,71.91,4.25,1.82
Chicago,5/5/2024 21:35,39.4,80.46,4.99,28.89
Chicago,4/4/2024 23:41,23.91,39.02,0.81,22.32
Phoenix,2/9/2024 22:11,11.96,64.38,9.89,0.16
New York,1/16/2024 15:30,4.83,51.19,3.24,2.61
Phoenix,1/7/2024 22:12,14.31,31.51,10.52,10.08
San Jose,3/23/2024 10:32,19.2,77.77,6.39,27.37
Dallas,3/4/2024 17:11,2.26,63.33,0.69,13.79
San Jose,2/15/2024 15:30,33.34,45.82,9.04,19.18
Los Angeles,4/1/2024 5:02,-3.53,51.7,8.42,11.08
San Antonio,5/6/2024 22:50,-5.27,31.22,0.85,1.21
Dallas,4/17/2024 0:39,-7.66,53.07,8.22,3.19
Philadelphia,1/25/2024 0:58,26.65,41.26,9.8,20.49
San Diego,4/13/2024 4:04,15.18,41.21,0.6,23.36
Chicago,1/24/2024 1:21,6.08,86.33,1.93,5.12
Chicago,3/18/2024 1:45,-6.49,48.23,7.99,5.42
Houston,4/21/2024 21:57,-5.65,64.35,2.69,23.46
Los Angeles,4/12/2024 12:41,31.66,30.18,6.34,4.26
Los Angeles,3/9/2024 6:20,1.86,43.44,3.49,26.63
Phoenix,2/5/2024 21:53,-1.57,52.2,10.83,17.67
San Jose,3/6/2024 15:18,33.65,68.24,2.69,20.67
New York,3/12/2024 15:44,19.59,71,0.7,24.53
San Diego,5/13/2024 3:12,22.82,65.97,6.24,0.05
Chicago,5/11/2024 9:43,0.56,75.58,0.4,24.42
Houston,3/30/2024 0:50,27.67,47.45,4.94,13.21
Philadelphia,3/28/2024 1:35,25.22,45.19,3.59,27.71
Los Angeles,3/28/2024 2:33,-4.42,84.86,3.7,21.97
New York,5/2/2024 18:38,20.76,85.52,5.73,8.8
San Jose,1/25/2024 10:27,39.41,85.09,4.17,10.52
San Antonio,4/19/2024 10:42,16.29,62.81,5.24,21.94
San Diego,4/29/2024 1:43,-1.74,62.91,1.56,14.49
San Jose,4/17/2024 4:11,-3.53,82.78,2.26,11.14
Dallas,5/16/2024 0:19,6.77,70.67,2.64,28.72
San Diego,1/15/2024 0:31,-0.18,65.46,7.36,10.24
San Antonio,2/28/2024 17:40,9.77,50.76,8.38,4.61
Dallas,1/30/2024 17:09,30.69,79.26,2.59,25.04
San Diego,4/1/2024 21:16,0.57,33.34,0.69,28.1
Philadelphia,3/17/2024 6:56,-7.33,58.08,3.2,4.7
San Diego,2/9/2024 13:40,1.19,76.44,9.76,5.35
Phoenix,1/15/2024 6:12,-5.08,57.15,3.47,18.59
Houston,4/11/2024 13:39,4.14,56.81,2.51,27.97
Chicago,4/4/2024 9:04,38.28,84.57,5.74,1.67
San Diego,2/25/2024 7:28,19.31,33.04,7.9,11.41
Dallas,4/29/2024 18:07,1.15,80.62,9.04,28.46
Dallas,5/13/2024 1:39,12.42,72.51,7.5,24.95
Dallas,2/21/2024 4:56,-6.78,55,2.43,11.69
San Antonio,4/4/2024 11:48,11.19,76.36,6.06,25.77
Los Angeles,3/29/2024 20:03,7.45,85.51,6.97,14.71
Houston,3/12/2024 14:10,21.18,47.2,9.91,3.51
San Jose,4/22/2024 3:42,26.42,87.34,0.81,28.45
Phoenix,4/1/2024 16:20,18.76,54.18,1.3,11.22
Chicago,4/7/2024 20:35,9.81,69.25,2.72,19.52
San Jose,4/4/2024 16:34,15.55,60.17,0.34,6.67
San Antonio,4/17/2024 1:56,31.33,74.5,1.09,22.23
Dallas,2/21/2024 22:17,34.37,60.96,6.6,10.62
San Antonio,1/29/2024 1:38,39.14,74.31,3.76,24.78
San Jose,1/30/2024 2:50,17.64,56.08,9.99,24.77
Los Angeles,4/22/2024 6:45,0.58,35.2,3.54,27.4
Houston,3/15/2024 7:01,27.41,37.19,2.3,14.54
San Diego,1/9/2024 18:08,39.68,47.45,1.37,12
Dallas,5/7/2024 9:44,25.14,51.96,9.73,20.11
Houston,1/25/2024 5:53,24.49,68.04,2.44,21.95
Chicago,3/24/2024 17:44,17.29,45.13,9.74,21.56
Dallas,4/28/2024 21:44,27.47,89.62,0.46,11.15
Houston,3/11/2024 22:37,4.05,49.35,2.54,11.64
New York,2/4/2024 0:12,-7.01,76.1,0.95,6.65
New York,5/10/2024 11:58,35.46,44.58,2.83,5.74
Chicago,1/3/2024 22:26,-6.33,35.19,1.51,28.78
San Jose,1/30/2024 0:31,35.38,55.65,5.48,18.6
New York,4/22/2024 19:57,23.06,72.87,0.22,0.76
New York,5/16/2024 1:36,19.95,84.81,5.94,29.45
New York,3/22/2024 11:30,30.16,50.5,1.43,27.46
Dallas,4/7/2024 7:56,32.79,59.48,0.39,6.18
Philadelphia,1/21/2024 23:26,30.55,45.73,1.09,27.89
New York,3/5/2024 16:53,-6.4,43.67,4.28,26.53
Phoenix,2/9/2024 16:58,24.42,46.77,8.47,12.87
Dallas,2/24/2024 21:37,-5.32,42.8,0.38,27.97
Phoenix,2/9/2024 22:24,16.24,66.88,3.2,1.67
Los Angeles,3/27/2024 20:35,13.69,30.49,4.24,16.55
Philadelphia,4/27/2024 22:46,4.49,88.23,1.29,14.74
Phoenix,3/11/2024 19:46,26.8,84.42,2.33,2.03
San Antonio,3/6/2024 0:46,12.3,72.8,2.42,28.26
New York,1/16/2024 2:35,12.82,46.81,1.74,22.51
Houston,3/4/2024 12:13,19.62,80.31,7.74,22.56
Houston,2/27/2024 9:07,36.87,80.78,1.31,23.73
San Diego,1/16/2024 12:16,5.91,48.32,7.1,28.68
San Jose,4/17/2024 7:56,8.08,49.46,0.74,17.07
Dallas,3/10/2024 22:10,24.26,41.57,6.63,27.25
Phoenix,1/16/2024 11:32,33.9,76.88,6.75,7.65
San Antonio,1/23/2024 1:45,20.05,34.63,3.47,6.05
Phoenix,2/20/2024 20:15,9.02,54.37,13.29,0.36
Houston,1/21/2024 20:44,27.2,45.61,1.47,15.13
San Antonio,2/5/2024 14:33,34.6,65.83,7.61,9.93
New York,5/9/2024 11:53,8.7,48.71,7.13,2.23
Philadelphia,2/29/2024 0:40,13.76,79.86,5.03,4.79
Chicago,3/25/2024 9:31,37.68,53.32,0.14,19.23
Philadelphia,1/31/2024 9:12,38.59,53.15,5.3,20.7
New York,2/11/2024 3:46,-8.67,30.41,4.48,3.1
San Antonio,4/21/2024 12:12,27.59,53.06,6.42,20.13
Chicago,2/15/2024 1:04,26.31,70.34,4.13,28.49
San Antonio,3/16/2024 0:26,-4.14,62.69,3.52,18.64
Phoenix,2/28/2024 14:59,12.52,77.85,10.13,5.83
Dallas,4/12/2024 10:59,0.32,39.14,4.82,26.28
San Antonio,5/11/2024 16:56,33.36,51.51,0.38,6.5
San Antonio,1/9/2024 2:55,6.28,72.26,4.46,28.09
